County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
NH,Southbury,"Sat, 05/20 09:00",10K,T2T - Kettletown State Park Challenge,"$45 through 3/31, $50 afterwards",2017-05-20T09:00:00Z,5,20,6
NH,Southbury,"Sat, 05/20 09:00",5K,T2T - Kettletown State Park Challenge,"$40 through 3/31, $45 afterwards",2017-05-20T09:00:00Z,5,20,6
NL,New London,"Sat, 05/20 09:00",5K,Take the WInthrop Challenge 5K Run,$25; Ages 17 & under - $10,2017-05-20T09:00:00Z,5,20,6
L,Barkhamsted,"Sat, 05/20 09:30",5K,Barkhamsted River Run 5K,"$20, $25 raceday. $15 for children 16 an dunder",2017-05-20T09:30:00Z,5,20,6
NH,Meriden,"Sat, 05/20 09:30",3M,Running Over Cancer,.$10,2017-05-20T09:30:00Z,5,20,6
F,Newtown,"Sat, 05/20 09:30",5K,Newtown Forest Assoc. and Boys Cross Country 5K,.$28,2017-05-20T09:30:00Z,5,20,6
W,Killingly,"Sat, 05/20 09:30",5K,Aspire Springtime Classic 5K,"$20, $25 raceday",2017-05-20T09:30:00Z,5,20,6
NL,Norwich,"Sat, 05/20 09:30",5K,Larry Pontbriant Memorial Run/Walk,.$10,2017-05-20T09:30:00Z,5,20,6
H,Windsor,"Sat, 05/20 10:00",5K,Shad Derby Race,"$20 through 5/17/17, $25 raceday",2017-05-20T10:00:00Z,5,20,6
NL,Montville,"Sat, 05/20 10:00",5K,Murphy's Mad Dash for a Cure,"$20 through 5/7, $25 afterwards, $15 ages 14 and under through 5/7, $20 after",2017-05-20T10:00:00Z,5,20,6
H,East Granby,"Sat, 05/20 10:00",5K,East Granby Ridge Run,"$25, $15 ages 5-17, free for 4 and under, $30 raceday",2017-05-20T10:00:00Z,5,20,6
L,Bethlehem,"Sat, 05/20 10:00",5K,Run for Hope,.$25,2017-05-20T10:00:00Z,5,20,6
H,East Hartford,"Sat, 05/20 10:00",5K,CHR's 1 in 5,$35; Ages 17 & under - $30; CHR employees & clients - $30,2017-05-20T10:00:00Z,5,20,6
F,Stratford,"Sat, 05/20 10:00",5K,LOV 5K,"$25, $15 for 11 and under",2017-05-20T10:00:00Z,5,20,6
NH,Meriden,"Sat, 05/20 10:30",5K,Dennis Ensinger 5K,"$32, $37 raceday; Ages 11-17 - $10 off",2017-05-20T10:30:00Z,5,20,6
NH,New Haven,"Sat, 05/20 11:15",1M,Front Street Dash,.$15,2017-05-20T11:15:00Z,5,20,6
NL,Stonington,"Sun, 05/21 07:00",13.1M,Mystic Half Marathon & 10K,"$70 through 1/1, $80 through 5/10, $90 afterwards; Ages 12-22 - $5 off",2017-05-21T07:00:00Z,5,21,7
NL,Stonington,"Sun, 05/21 07:00",10K,Mystic Half Marathon & 10K,"$40 through 1/1, $45 through 4/18, $55 afterwards; Ages 10-22 - $5 off",2017-05-21T07:00:00Z,5,21,7
H,Farmington,"Sun, 05/21 08:00",13.1M,Walton Pond Trail Half Marathon,"$50, $40 for Winding Trails Members",2017-05-21T08:00:00Z,5,21,7
H,Avon,"Sun, 05/21 08:30",5K,Avon Road Race,"$25, $30 raceday",2017-05-21T08:30:00Z,5,21,7
L,Salisbury,"Sun, 05/21 08:30",Obstacle 5K,IMS Zombie Run,"$22.50 (+2.23) through 5/11, $25 afterwards",2017-05-21T08:30:00Z,5,21,7
NH,Cheshire,"Sun, 05/21 09:00",10K,Cheshire YMCA Sea Dog 5K & 10K,.$30,2017-05-21T09:00:00Z,5,21,7
NH,Cheshire,"Sun, 05/21 09:05",5K,Cheshire YMCA Sea Dog 5K & 10K,.$25,2017-05-21T09:05:00Z,5,21,7
H,Newington,"Sun, 05/21 09:00",5K,Newington Library 5K Challenge,".$20, $25 raceday, $10 children 12 and under",2017-05-21T09:00:00Z,5,21,7
H,South Windsor,"Sun, 05/21 09:00",5K,Journey Found 5K,"$20, $25 raceday, under 18 $15, $20 raceday, Family of 3 or more $50",2017-05-21T09:00:00Z,5,21,7
T,Stafford,"Sun, 05/21 09:00",22K,Soapstone Mountain Trail Races,"$22, $30 raceday",2017-05-21T09:00:00Z,5,21,7
T,Stafford,"Sun, 05/21 09:10",6K,Soapstone Mountain Trail Races,"$12, $15 raceday",2017-05-21T09:10:00Z,5,21,7
NH,North Branford,"Sun, 05/21 09:30",5K,Matt's Mission,"$24 through 4/1, $25 through 5/20, $27 raceday",2017-05-21T09:30:00Z,5,21,7
NL,Groton,"Sun, 05/21 09:30",5K,Trails to Recovery,.$20,2017-05-21T09:30:00Z,5,21,7
H,Simsbury,"Sun, 05/21 11:00",Triathlon,Try Simsbury,"$65 through 1/31, $75 through 5/19, $85 raceday",2017-05-21T11:00:00Z,5,21,7
H,South Windsor,"Sun, 05/21 11:00",5K,Run 4 Robin,"$15, $20 day of",2017-05-21T11:00:00Z,5,21,7
H,Burlington,"Sun, 05/21 11:00",5K,Shine On 5K,"$20, $25 raceday",2017-05-21T11:00:00Z,5,21,7
F,Norwalk,"Sun, 05/21 11:00",5K,O'Neill's 5K,"$30 through 3/17, $35 through 5/20, $40 raceday. Students 11-18 $15, $20 raceday, Free for under 10 (no t-shirt)",2017-05-21T11:00:00Z,5,21,7
F,Bethel,"Sun, 05/21 11:00",Kids 1M,Healthy Kids Running Series - Week 4,$35 for 5-week series [4th - 8th grade ONLY],2017-05-21T11:00:00Z,5,21,7
L,Morris,"Sun, 05/21 12:00",5K,The Retro Run,.$20,2017-05-21T12:00:00Z,5,21,7
H,Farmington,"Sun, 05/21 13:00",5K,Gertsberg Memorial 5K,.$20,2017-05-21T13:00:00Z,5,21,7
NL,Lebanon,"Sun, 05/21 13:30",5K,Bailey's Garden 5K,"$20 for 11 and over, $10 for 10 and under",2017-05-21T13:30:00Z,5,21,7
F,Stamford,"Wed, 05/24 19:00",5K,Stamford Boys and Girls CLub Corporate 5K,"$30, 435 raceday",2017-05-24T19:00:00Z,5,24,3
M,Chester,"Thu, 05/25 18:15",Triathlon,Cedar Lake Tri Series,.$35[THIS DATE CANCELLED],2017-05-25T18:15:00Z,5,25,4
F,Weston,"Sat, 05/27 08:30",5K,Weston Memorial Day Weekend 5K Road Race,"$30, $40 raceday",2017-05-27T08:30:00Z,5,27,6
L,Roxbury,"Sat, 05/27 08:30",1M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-05-27T08:30:00Z,5,27,6
T,Willington,"Sat, 05/27 08:30",5K,Willington PTA 5K,.$15,2017-05-27T08:30:00Z,5,27,6
NH,Southbury,"Sat, 05/27 08:30",5K,David Wood Memorial 5K,"$25 through 5/13, $30 afterwards",2017-05-27T08:30:00Z,5,27,6
M,Old Saybrook,"Sat, 05/27 09:00",4M,Delaney Dash,"$20 mail-in; $18 through 5/23, $30 Afterwards",2017-05-27T09:00:00Z,5,27,6
NL,North Stonington,"Sat, 05/27 10:00",5K,North Stonington Education Foundation 5K,"$20 through 5/23, $25 afterwards",2017-05-27T10:00:00Z,5,27,6
F,Bridgeport,"Sun, 05/28 08:30",10K,Great Aquarion Barnum Festival 5K & 10K Road Race,"$30 (+2.50) through 1/31, $35 +(3.00) through 5/24, ?? Afterwards; Active military or veterans - Free",2017-05-28T08:30:00Z,5,28,7
F,Bridgeport,"Sun, 05/28 08:30",5K,Great Aquarion Barnum Festival 5K & 10K Road Race,"$25 (+2.50) through 1/31, $30 +(2.50) through 5/24, ?? Afterwards; Active military or veterans - Free",2017-05-28T08:30:00Z,5,28,7
F,Wilton,"Sun, 05/28 09:00",5K,Get Smart For Wilton 5K,"$27, $30 raceday; Ages 13 & under - $25",2017-05-28T09:00:00Z,5,28,7
L,New Hartford,"Sun, 05/28 10:00",3.5M,Race Around the Lake,"$20, $25 raceday, under 15 $15, $20 raceday, family of 4 $60 pre-registered only",2017-05-28T10:00:00Z,5,28,7
H,Marlborough,"Sun, 05/28 10:30",5K,Lions Club 5K Road Race,"$20 (+2.50), $25 raceday, max of $50 per family",2017-05-28T10:30:00Z,5,28,7
F,Bethel,"Sun, 05/28 11:00",Kids 1M,Healthy Kids Running Series - Week 5,$35 for 5-week series [4th - 8th grade ONLY],2017-05-28T11:00:00Z,5,28,7
NH,Waterbury,"Mon, 05/29 07:00",26.2M,Oh Boy Marathon,"$50 through 1/31, $60 through 3/31, $70 through 4/30, $75 afterwards [100 RUNNER LIMIT]",2017-05-29T07:00:00Z,5,29,1
NH,Waterbury,"Mon, 05/29 07:00",13.1M,Oh Boy Marathon,"$50 through 1/31, $60 through 3/31, $70 through 4/30, $75 afterwards [100 RUNNER LIMIT]",2017-05-29T07:00:00Z,5,29,1
NH,Oxford,"Mon, 05/29 08:15",5K,Freedom Run 5K,"$25, Free for Veterans",2017-05-29T08:15:00Z,5,29,1
F,Greenwich,"Mon, 05/29 08:15",5M,Jim Fixx Memorial Day Run,"$30, $40 raceday; Kids - $15",2017-05-29T08:15:00Z,5,29,1
F,Easton,"Mon, 05/29 08:30",1M,Memorial Mile,"$16 (+2.50), $20 raceday",2017-05-29T08:30:00Z,5,29,1
NH,Meriden,"Mon, 05/29 08:45",1M,Meriden Memorial Mile,"$20 through 5/20, $10 for 12 and under, $25 raceday",2017-05-29T08:45:00Z,5,29,1
W,Woodstock,"Mon, 05/29 09:00",10K,Woodstock Memorial Day 10K,"$20 through 5/15, $25 afterwards",2017-05-29T09:00:00Z,5,29,1
H,Bloomfield,"Mon, 05/29 09:30",5K,Bloomfield Memorial Day 5K,$10; Team of 2 - $15; Team of 3 - $20; Team of 4 - $25,2017-05-29T09:30:00Z,5,29,1
NL,Stonington,"Mon, 05/29 10:00",5K,Mystic Bearathon,.$20,2017-05-29T10:00:00Z,5,29,1
M,Durham,"Mon, 05/29 11:00",10K,Washington Trail Road Races,.$20,2017-05-29T11:00:00Z,5,29,1
M,Durham,"Mon, 05/29 11:00",4K,Washington Trail Road Races,.$15,2017-05-29T11:00:00Z,5,29,1
L,Norfolk,"Mon, 05/29 12:00",5M,Memorial Day 5-Mile Road Race,"$14, $19 raceday",2017-05-29T12:00:00Z,5,29,1
F,New Canaan,"Wed, 05/31 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2,2017-05-31T19:00:00Z,5,31,3
F,Stratford,"Thu, 06/01 18:00",5K,Stratford Spring Series,"$10, for $25 for whole series",2017-06-01T18:00:00Z,6,1,4
H,Marlborough,"Thu, 06/01 18:15",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",2017-06-01T18:15:00Z,6,1,4
NL,Groton,"Fri, 06/02 18:00",3.6M,Twilight Trail Run,"$23 through 5/26, $28 afterwards",2017-06-02T18:00:00Z,6,2,5
NL,Groton,"Fri, 06/02 18:00",7.4M,Twilight Trail Run,"$23 through 5/26, $28 afterwards",2017-06-02T18:00:00Z,6,2,5
L,New Milford,"Fri, 06/02 19:45",5K,Moonlight Run,.$25,2017-06-02T19:45:00Z,6,2,5
NH,Middlebury,"Sat, 06/03 07:00",Triathlon,Revolution3 Quassy Olympic Triathlon,"$129 through 8/8, $150 through 12/1/16, $160 through 2/1, $170 through 3/1, $180 through 5/1, $190 through 6/4, $200 raceday",2017-06-03T07:00:00Z,6,3,6
M,Durham,"Sat, 06/03 08:00",3M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards",2017-06-03T08:00:00Z,6,3,6
L,Roxbury,"Sat, 06/03 08:30",9M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-06-03T08:30:00Z,6,3,6
W,Chaplin,"Sat, 06/03 09:00",5K,Chaplin Country Road Race,"$17, $20 raceday",2017-06-03T09:00:00Z,6,3,6
NL,Colchester,"Sat, 06/03 09:00",5K,Running for Unity,"$10, $15 raceday",2017-06-03T09:00:00Z,6,3,6
M,Durham,"Sat, 06/03 09:00",Kids 3M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES 7-12 ONLY]",2017-06-03T09:00:00Z,6,3,6
M,Durham,"Sat, 06/03 09:00",Kids 1M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES 7-12 ONLY]",2017-06-03T09:00:00Z,6,3,6
NL,Stonington,"Sat, 06/03 09:00",5K,Pawcatuck Lions 5K,"$20, $25 raceday; Ages 4-17 - $15",2017-06-03T09:00:00Z,6,3,6
H,Hartford,"Sat, 06/03 09:00",5K,Komen Race for the Cure,"$25, $10 youth through 2/28, $35, $15 youth through 5/26, $40, $20 youth afterwards",2017-06-03T09:00:00Z,6,3,6
NH,Hamden,"Sat, 06/03 09:00",5K,Hamden Road Race,"$25 through 4/29, $30 through 6/1, $35 afterwards",2017-06-03T09:00:00Z,6,3,6
NL,Norwich,"Sat, 06/03 09:00",5K,Norwich Tech Warrior 5K,.$20,2017-06-03T09:00:00Z,6,3,6
F,Trumbull,"Sat, 06/03 09:00",5K,Run for Hope,"$25, $15 for students and military",2017-06-03T09:00:00Z,6,3,6
NH,Milford,"Sat, 06/03 09:00",5K,Strides for the Spectrum,"$25, $20 for 17 and under",2017-06-03T09:00:00Z,6,3,6
F,Redding,"Sat, 06/03 10:00",5K,Miles for Smiles Off-Road 5K,$25 through 6/2,2017-06-03T10:00:00Z,6,3,6
L,Torrington,"Sat, 06/03 10:30",NA,Raider Run,"$30, $20 students",2017-06-03T10:30:00Z,6,3,6
M,Durham,"Sat, 06/03 10:30",Kids 1M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES K-6 ONLY, SPLIT BY GENDER]",2017-06-03T10:30:00Z,6,3,6
M,Durham,"Sat, 06/03 10:55",Kids 2M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES K-6 ONLY]",2017-06-03T10:55:00Z,6,3,6
L,Harwinton,"Sat, 06/03 13:00",5K,Jamie Kirchner Memorial - Harwinton Wheels & Heels 5K Road Race,.$20,2017-06-03T13:00:00Z,6,3,6
F,Ridgefield,"Sun, 06/04 07:00",Triathlon,TriRidgefield Sprint Tri,.$85,2017-06-04T07:00:00Z,6,4,7
NH,Middlebury,"Sun, 06/04 07:00",Triathlon,Revolution3 Quassy Half-Ironman Triathlon,"$219 through 8/8, $250 through 12/1/16, $260 through 2/1, $270 through 3/1, $280 through 5/1, $290 through 6/4, $305 raceday",2017-06-04T07:00:00Z,6,4,7
H,Simsbury,"Sun, 06/04 07:30",10K,Amica Iron Horse 10K,"$35 through 1/1, $45 through 5/24, $50 afterwards; Ages 10-22 - $5 off",2017-06-04T07:30:00Z,6,4,7
H,Simsbury,"Sun, 06/04 07:45",13.1M,Amica Iron Horse Half Marathon,"$60 through 1/1, $75 through 5/24, $85 afterwards; Ages 12-22 - $5 off",2017-06-04T07:45:00Z,6,4,7
H,Simsbury,"Sun, 06/04 07:45",5K,Amica Iron Horse 5K,"$30 through 1/1, $35 through 5/24, $38 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 5/24, $20 afterwards",2017-06-04T07:45:00Z,6,4,7
F,Stamford,"Sun, 06/04 08:00",5K,Stamford Hospital Hope in Motion Run,"$50, $60 raceday",2017-06-04T08:00:00Z,6,4,7
F,Stamford,"Sun, 06/04 08:00",10K,Stamford Hospital Hope in Motion Run,"$65, $75 raceday",2017-06-04T08:00:00Z,6,4,7
NL,Stonington,"Sun, 06/04 08:00",Triathlon,Mystic River Valley Triathlon,.$75,2017-06-04T08:00:00Z,6,4,7
F,Norwalk,"Sun, 06/04 08:30",5K,Miles for Meals 5K,"$28 through 4/5, $30 through 5/2, $32 through 6/3, $35 raceday",2017-06-04T08:30:00Z,6,4,7
NH,Middlebury,"Sun, 06/04 08:45",Kids' Triathlon,Revolution3 Kids Triathlon,"$45 through 8/8, $55 through 3/1, $60 through 5/1, $65 through 6/4, $70 raceday [Ages 11-15 only]",2017-06-04T08:45:00Z,6,4,7
H,Suffield,"Sun, 06/04 09:00",5K,Suffield Fireman's Road Race,.$25,2017-06-04T09:00:00Z,6,4,7
NH,Wolcott,"Sun, 06/04 09:00",3.2M,Ben Was Here 5K+,"$25, Ages 12 & under - $15 ; Family - $40",2017-06-04T09:00:00Z,6,4,7
W,Hampton,"Sun, 06/04 09:00",30K,Goodwin Forest Trail Run,"$25, $33 raceday; Age 50+ - $20, $28 raceday [250 RUNNER LIMIT]",2017-06-04T09:00:00Z,6,4,7
W,Hampton,"Sun, 06/04 09:00",10K,Goodwin Forest Trail Run,"$25, $33 raceday; Age 50+ - $20, $28 raceday [250 RUNNER LIMIT]",2017-06-04T09:00:00Z,6,4,7
F,Monroe,"Sun, 06/04 09:00",5K,Sprint For Monroe,".$25 through 5/27, $30 afterwards, ?? Raceday",2017-06-04T09:00:00Z,6,4,7
NH,Naugatuck,"Sun, 06/04 09:00",5K,Rubber Duck 5K,.$20,2017-06-04T09:00:00Z,6,4,7
NL,Waterford,"Sun, 06/04 09:30",5K,Oswegatchie 5K,"$15, $20 raceday; Students - $10, $15 raceday",2017-06-04T09:30:00Z,6,4,7
NH,Orange,"Sun, 06/04 10:00",5K,Doc's Race,"$20 by 5/20, $25 afterwards, $12 (for 12 and under) through 5/20, $15 afterwards",2017-06-04T10:00:00Z,6,4,7
H,Wethersfield,"Sun, 06/04 11:00",5K,Keane Foundation 5K Walk & Run,"$10, $5 for 10 and under",2017-06-04T11:00:00Z,6,4,7
H,East Hartford,"Wed, 06/07 18:30",5K,Fleet Feet's the Big Run,.$30,2017-06-07T18:30:00Z,6,7,3
H,West Hartford,"Wed, 06/07 18:30",5K,Solstice Sprint 5K,"$20 through 5/1, $25 afterwards",2017-06-07T18:30:00Z,6,7,3
M,Chester,"Thu, 06/08 18:15",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],2017-06-08T18:15:00Z,6,8,4
F,New Canaan,"Thu, 06/08 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2 (Postponed from Tuesday 6/6),2017-06-08T19:00:00Z,6,8,4
NL,East Lyme,"Fri, 06/09 18:00",10K,Niantic Bay Road Race,"$20 through 6/7, $25 afterwards",2017-06-09T18:00:00Z,6,9,5
L,Woodbury,"Fri, 06/09 18:00",5K,Flanders Field Forest Trail 5K,"$30 thru 5/8, $35 thru 6/8, $40 raceday",2017-06-09T18:00:00Z,6,9,5
F,Greenwich,"Fri, 06/09 18:30",3M,Cook Your Buns Off,$25; Kids - $15,2017-06-09T18:30:00Z,6,9,5
L,Roxbury,"Sat, 06/10 08:30",3.9M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-06-10T08:30:00Z,6,10,6
H,Hartford,"Sat, 06/10 08:30",5K,Miles For Miracles 5K,"$20 through 6/20, $25 Afterwards; Ages 5-12 - $10; Age under 5 - Free",2017-06-10T08:30:00Z,6,10,6
H,Berlin,"Sat, 06/10 08:30",5K,Lobster Loop 5K Run,"$20 through 5/1, $25 through 6/9, NO RACE DAY REGISTRATION",2017-06-10T08:30:00Z,6,10,6
H,Enfield,"Sat, 06/10 09:00",5K,HMS Fun Run Day,$15; Ages 18 & under - $10,2017-06-10T09:00:00Z,6,10,6
H,Manchester,"Sat, 06/10 09:00",1M,Spring Street Mile,"$18 through 2/28, $20 through 5/31, $25 afterwards",2017-06-10T09:00:00Z,6,10,6
H,New Britain,"Sat, 06/10 09:00",5K,Bee a Champion for Children and Families 5K Race,.$35,2017-06-10T09:00:00Z,6,10,6
H,Hartford,"Sat, 06/10 09:00",5K,Zero Prostate 5K,"$30, $35 raceday, youth $15, $20 raceday",2017-06-10T09:00:00Z,6,10,6
H,Manchester,"Sat, 06/10 09:30",5K,Life Without Limits 5K,.$25,2017-06-10T09:30:00Z,6,10,6
NH,Waterbury,"Sat, 06/10 09:30",5K,Great Dash and Bash 5K,.$20,2017-06-10T09:30:00Z,6,10,6
NL,Groton,"Sat, 06/10 10:00",5K,Tour de Noank,"$20 through 5/11, $25 through 6/7, $30 raceday",2017-06-10T10:00:00Z,6,10,6
F,Trumbull,"Sat, 06/10 10:00",5K,Run For Your Colors,"$20, $25 raceday; Ages 70+ - Free; Ages 8 & under - Free",2017-06-10T10:00:00Z,6,10,6
F,Danbury,"Sat, 06/10 10:00",5K,Athletes of Christ 5K,"$20 through 5/19, $30 afterwards",2017-06-10T10:00:00Z,6,10,6
T,Mansfield,"Sat, 06/10 10:00",5K,Friends of E.O. Smith Road Race,"$20, $25 raceday",2017-06-10T10:00:00Z,6,10,6
F,Bridgeport,"Sun, 06/11 07:00",Triathlon,Trifitness Seaside Sprint Triathlon & Duathlon,$70; Youth - $50,2017-06-11T07:00:00Z,6,11,7
F,Bridgeport,"Sun, 06/11 07:00",Duathlon,Trifitness Seaside Sprint Triathlon & Duathlon,$55; Youth - $40,2017-06-11T07:00:00Z,6,11,7
NH,Milford,"Sun, 06/11 08:00",5K,Gulf Beach Pirate Day 5K,"$25 through 5/14, $30 through 6/10, $35 raceday",2017-06-11T08:00:00Z,6,11,7
F,New Canaan,"Sun, 06/11 08:00",5K,MMRF Tri State 5K Run,"$35, $15 for aged 6-17, Free for under 5",2017-06-11T08:00:00Z,6,11,7
F,Bridgeport,"Sun, 06/11 09:00",5K,Run for the Rock,"$27, $30 day of",2017-06-11T09:00:00Z,6,11,7
F,Brookfield,"Sun, 06/11 09:00",5M,JDRF Strides to Cure Diabetes,"$20 through 5/31, $25 afterwards",2017-06-11T09:00:00Z,6,11,7
T,Mansfield,"Sun, 06/11 09:00",14.1M,Nipmuck South Trail Race,.$25,2017-06-11T09:00:00Z,6,11,7
L,Salisbury,"Sun, 06/11 09:00",13.1M,Lime Rock Park Half Marathon & 5K,"$60 through 6/4, $70 through 6/10, $80 raceday[CANCELLED]",2017-06-11T09:00:00Z,6,11,7
L,Salisbury,"Sun, 06/11 09:30",5K,Lime Rock Park Half Marathon & 5K,"$30 through 6/4, $35 through 6/10, $40 raceday[CANCELLED]",2017-06-11T09:30:00Z,6,11,7
H,West Hartford,"Sun, 06/11 09:30",5K,Celebrate West Hartford 5K Road Race,"$25 through 6/1, $30 afterwards",2017-06-11T09:30:00Z,6,11,7
L,Litchfield,"Sun, 06/11 13:00",7.1M,Litchfield Hills Road Race,"$35, $45 Raceday",2017-06-11T13:00:00Z,6,11,7
H,Farmington,"Tue, 06/13 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-06-13T18:15:00Z,6,13,2
H,Farmington,"Tue, 06/13 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-06-13T18:10:00Z,6,13,2
F,New Canaan,"Tue, 06/13 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2,2017-06-13T19:00:00Z,6,13,2
NL,Stonington,"Wed, 06/14 18:00",1M,Nick Bottone Mile,Free,2017-06-14T18:00:00Z,6,14,3
H,Bristol,"Wed, 06/14 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-06-14T18:30:00Z,6,14,3
NH,Ansonia,"Wed, 06/14 19:00",5K,Valley YMCA Sunset 5K,"$20, $25 raceday",2017-06-14T19:00:00Z,6,14,3
H,Marlborough,"Thu, 06/15 18:15",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",2017-06-15T18:15:00Z,6,15,4
NL,Preston,"Thu, 06/15 19:00",5K,St. Catherine's,"$15 through 6/10, $20 raceday. $10 for juniors",2017-06-15T19:00:00Z,6,15,4
NH,Middlebury,"Sat, 06/17 07:00",Triathlon,Pat Griskus Olympic Triathlon,.$80 ($15 more for non-USAT members),2017-06-17T07:00:00Z,6,17,6
NH,Middlebury,"Sat, 06/17 07:00",Triathlon,Pat Griskus Sprint Triathlon,.$70 ($15 more for non-USAT members),2017-06-17T07:00:00Z,6,17,6
NH,Middlebury,"Sat, 06/17 07:00",Duathlon,Pat Griskus Duathlon,.$80 ($15 more for non-USAT members),2017-06-17T07:00:00Z,6,17,6
F,Norwalk,"Sat, 06/17 08:00",3M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",2017-06-17T08:00:00Z,6,17,6
L,Roxbury,"Sat, 06/17 08:30",6.5M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-06-17T08:30:00Z,6,17,6
W,Putnam,"Sat, 06/17 09:00",5K,Walk & Run for NECT Cancer Fund,"$25 through 6/1, $35 afterwards",2017-06-17T09:00:00Z,6,17,6
NL,Colchester,"Sat, 06/17 09:00",5K,Cross-Country 5K To Outrace Hunger,"$25 through 5/1, $30 through 6/16, $35 raceday",2017-06-17T09:00:00Z,6,17,6
L,Colebrook,"Sat, 06/17 09:00",5K,Jewell 5K Trail Run,"$20 through 6/1, $25 afterwards; Family rate $60 max - same address",2017-06-17T09:00:00Z,6,17,6
H,Glastonbury,"Sat, 06/17 09:00",5K,Glastonbury Relay for Life 5K,$25 through 6/16 POSTPONED,2017-06-17T09:00:00Z,6,17,6
H,Granby,"Sat, 06/17 09:30",5K,Granby Bear 5K Challenge,"$25 Adults and 5-17 with t-shirt, $15 ages 5-17 with no shirt, $30 raceday",2017-06-17T09:30:00Z,6,17,6
W,Windham,"Sat, 06/17 09:00",5K,Purple Run with United Against Domestic Violence,.$25,2017-06-17T09:00:00Z,6,17,6
L,Winchester,"Sat, 06/17 10:00",5K,Smile Through the Miles,"$20 pre-reg, $25 raceday",2017-06-17T10:00:00Z,6,17,6
NH,Meriden,"Sat, 06/17 10:00",5K,Purple Stride,"$30, $35 raceday, youth $15, $20 raceday",2017-06-17T10:00:00Z,6,17,6
W,Woodstock,"Sat, 06/17 10:30",5K,SOLAIR Nude 5K Color Run,.$30 for couples/familes 1st visit. $10 full time student,2017-06-17T10:30:00Z,6,17,6
T,Hebron,"Sun, 06/18 07:30",5.5M,Summer Solstice Trail Run,"$25 through 1/1, $30 through 6/17, $35 afterwards; Ages 10-22 - $5 off",2017-06-18T07:30:00Z,6,18,7
T,Hebron,"Sun, 06/18 07:30",3.3M,Summer Solstice Trail Run,"$25 through 1/1, $30 through 6/17, $35 afterwards; Ages 18-22 - $5 off; Ages 10-17 - $15 through 6/17, $20 afterwards",2017-06-18T07:30:00Z,6,18,7
F,Ridgefield,"Sun, 06/18 08:30",5K,Father's Day 5K,.$30,2017-06-18T08:30:00Z,6,18,7
NH,Milford,"Sun, 06/18 09:00",5K,Milford Moves for Veterans,"$22 through 4/30, $27 afterwards",2017-06-18T09:00:00Z,6,18,7
F,Norwalk,"Sun, 06/18 09:30",4.4M,Rowayton Fun Run,"$12 (+2.50), $20 raceday; Ages 1-15 - $6 (+2.00), $10 raceday",2017-06-18T09:30:00Z,6,18,7
F,Norwalk,"Sun, 06/18 09:30",2.2M,Rowayton Fun Run,"$12 (+2.50), $20 raceday; Ages 1-15 - $6 (+2.00), $10 raceday",2017-06-18T09:30:00Z,6,18,7
L,Bridgewater,"Sun, 06/18 09:30",5K,Little Britches 5K,"$25, $30 raceday",2017-06-18T09:30:00Z,6,18,7
NH,Branford,"Sun, 06/18 10:15",5M,Branford Road Race,"$29 through 5/3, $31 through 6/12, $33 through 6/17, $37 raceday",2017-06-18T10:15:00Z,6,18,7
NH,Branford,"Sun, 06/18 09:30",Kids 1M,Branford Road Race,"$12 through 5/3, $13 through 6/12, $15 through 6/17, $17 raceday",2017-06-18T09:30:00Z,6,18,7
T,Columbia,"Tue, 06/20 18:00",1.5M,Summer XC Fun Run,"$4, or $8 for whole series POSTPONED form 6/13",2017-06-20T18:00:00Z,6,20,2
T,Columbia,"Tue, 06/20 18:00",3M,Summer XC Fun Run,"$4, or $8 for whole series POSTPONED form 6/13",2017-06-20T18:00:00Z,6,20,2
H,Farmington,"Tue, 06/20 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-06-20T18:15:00Z,6,20,2
H,Farmington,"Tue, 06/20 18:10",TinyTriathlon,Winding Trails Triathlon,"$25, $20 for members",2017-06-20T18:10:00Z,6,20,2
