County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
F,Westport,"Sat, 04/22 10:00",5K,Fairfield County Heart Walk & 5k Run,"$35, $40 raceday",2017-04-22T10:00:00Z,4,22,6
W,Pomfret,"Sat, 04/22 10:00",5K,Camper Scamper 5K Road Race,.$20,2017-04-22T10:00:00Z,4,22,6
H,Windsor,"Sat, 04/22 10:40",5K,1040 EZ Run,"$20 through 54/15, $25 afterwards",2017-04-22T10:40:00Z,4,22,6
NL,North Stonington,"Sat, 04/22 11:00",10K,Chikumbuso 10K/5K Challenge,.$25,2017-04-22T11:00:00Z,4,22,6
NL,North Stonington,"Sat, 04/22 11:00",5K,Chikumbuso 10K/5K Challenge,.$25,2017-04-22T11:00:00Z,4,22,6
L,New Milford,"Sat, 04/22 12:00",5K,Pratt Nature Center Dirt Dash,"$20 13 and over, $15 12 and under",2017-04-22T12:00:00Z,4,22,6
NL,Stonington,"Sat, 04/22 13:00",5K,Donahue Memorial 5K,"$20, $25 raceday",2017-04-22T13:00:00Z,4,22,6
M,Middlefield,"Sun, 04/23 08:00",5K,Sprint into Spring,$25; $20 each for groups of 3+,2017-04-23T08:00:00Z,4,23,7
M,Middlefield,"Sun, 04/23 08:00",10K,Sprint into Spring,$30; $25 each for groups of 3+,2017-04-23T08:00:00Z,4,23,7
F,Danbury,"Sun, 04/23 08:00",5K,Run for Animals 5K,"$30, $35 with dog",2017-04-23T08:00:00Z,4,23,7
F,Westport,"Sun, 04/23 08:30",5K,Minute Man Race,"$35 through 4/10, $40 through 3/17, $50 through 4/23",2017-04-23T08:30:00Z,4,23,7
F,Westport,"Sun, 04/23 08:40",10K,Minute Man Race,"$30 through 4/10, $35 through 3/17, $40 through 4/23",2017-04-23T08:40:00Z,4,23,7
F,Shelton,"Sun, 04/23 09:00",5K,Moving with Hope 5K Race,$25; $10 high/grammar school students; Age 70+ - $10 CANCELLED,2017-04-23T09:00:00Z,4,23,7
L,Bethlehem,"Sun, 04/23 09:00",5K,Bring on the Heat,"$25, $30 raceday",2017-04-23T09:00:00Z,4,23,7
