County,Town,Date/Time,Distance,Name,Cost,Results,DateTime,Month,Day,Weekday,Year
L,Torrington,"Sun, 08/12 10:00",5M,Torrington Road Race,"$15,  $5 for 18 and under",Results,2018-08-12T10:00:00Z,8,12,7,2018
NH,Oxford,"Sun, 08/12 11:00",5K,Belly of the Hog,.$27,Results,2018-08-12T11:00:00Z,8,12,7,2018
H,Manchester,"Mon, 08/13 18:00",Kids 1M,Summer XC Series,"$4,  $15 for series (ages 13 and under)",Results,2018-08-13T18:00:00Z,8,13,1,2018
H,Manchester,"Mon, 08/13 18:30",2.6M,Summer XC Series,"$10, $20 for series (ages 14 and up)",Results,2018-08-13T18:30:00Z,8,13,1,2018
H,Farmington,"Tue, 08/14 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",Results,2018-08-14T18:10:00Z,8,14,2,2018
H,Farmington,"Tue, 08/14 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",Results,2018-08-14T18:15:00Z,8,14,2,2018
L,Litchfield,"Tue, 08/14 18:30",1M,Night of Miles,.$2,Results,2018-08-14T18:30:00Z,8,14,2,2018
H,Granby,"Wed, 08/15 18:00",5K,Summer Sunset Series,.$5,Results,2018-08-15T18:00:00Z,8,15,3,2018
NH,Meriden,"Wed, 08/15 18:30",3M,Summer Fun Run,Free,Results,2018-08-15T18:30:00Z,8,15,3,2018
H,Newington,"Wed, 08/15 18:30","3K, 5K",Newington Summer Fun Run Series,Free,Results,2018-08-15T18:30:00Z,8,15,3,2018
L,Watertown,"Wed, 08/15 18:30","5K, 3K",Poker Runs,.$3,Results,2018-08-15T18:30:00Z,8,15,3,2018
W,Killingly,"Thu, 08/16 17:30",5K,Killingly River Trail Summer Series,"$5, or $20 for 8 week series NO RACE DAY REGISTRATION",Results,2018-08-16T17:30:00Z,8,16,4,2018
H,Marlborough,"Thu, 08/16 18:15",Triathlon,Lake Terramuggus Tri Series,"$25, $30 for sprint, $30, $40 raceday for sprint",Results,2018-08-16T18:15:00Z,8,16,4,2018
F,Danbury,"Thu, 08/16 18:30",5K,Amber Room Run From the Sun 5K,"$28 through 7/15, $30 through 8/15 @ noon,  $32 after",Results,2018-08-16T18:30:00Z,8,16,4,2018
L,Litchfield,"Thu, 08/16 18:30","2K,3K,4K,5K",White Woods Cross Country Summer Series,.$2,Results,2018-08-16T18:30:00Z,8,16,4,2018
H,Bristol,"Fri, 08/17 18:00",5K,Falcon 5K,"$25, $18 for students",Results,2018-08-17T18:00:00Z,8,17,5,2018
H,Marlborough,"Sat, 08/18 08:00",Triathlon,Lake Terramuggus Olympic Triathlon,"$90,  $110 raceday",Results,2018-08-18T08:00:00Z,8,18,6,2018
F,Westport,"Sat, 08/18 08:00",8.4M,Westport Road Runners Summer Series,"$10,  $60 for whole series, $5 for Westport residents or $30 for series",Results,2018-08-18T08:00:00Z,8,18,6,2018
L,Roxbury,"Sat, 08/18 08:30","6.2M, 3.5M",Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-08-18T08:30:00Z,8,18,6,2018
T,Bolton,"Sat, 08/18 09:00",5K,Bolton XC Alumni Classic,"$15 thru 8/11, then $20.  HS and younger students:  $10 thru 8/11, then $20",Results,2018-08-18T09:00:00Z,8,18,6,2018
M,Clinton,"Sat, 08/18 09:00",5K,Bluefish Road Race,.$20,Results,2018-08-18T09:00:00Z,8,18,6,2018
F,Danbury,"Sat, 08/18 09:00",5K,Perogie Dash,.$25,Results,2018-08-18T09:00:00Z,8,18,6,2018
L,Morris,"Sat, 08/18 09:00",5K,Beach to Beach 5K,.$30,Results,2018-08-18T09:00:00Z,8,18,6,2018
F,Norwalk,"Sun, 08/19 06:30",Triathlon,Mossman Sprint Triathlon,".$75 thru 3/31, then $85",Results,2018-08-19T06:30:00Z,8,19,7,2018
H,Bristol,"Sun, 08/19 08:00",13.1M,Bristol Half Marathon,.$55,Results,2018-08-19T08:00:00Z,8,19,7,2018
H,Bristol,"Sun, 08/19 08:00",10K,Bristol Half Marathon,.$40,Results,2018-08-19T08:00:00Z,8,19,7,2018
H,Canton,"Sun, 08/19 08:30",5K,PTO Lobster Loop 5K,.$20,Results,2018-08-19T08:30:00Z,8,19,7,2018
T,Somers,"Sun, 08/19 09:00",5K,Austin Harlow Memorial,TBD,Results,2018-08-19T09:00:00Z,8,19,7,2018
F,Shelton,"Sun, 08/19 17:30",10K,Sunset Run for the Warriors,.$50,Results,2018-08-19T17:30:00Z,8,19,7,2018
F,Shelton,"Sun, 08/19 17:30",5K,Sunset Run for the Warriors,.$25,Results,2018-08-19T17:30:00Z,8,19,7,2018
H,Manchester,"Mon, 08/20 18:00",Kids 1M,Summer XC Series,"$4,  $15 for series (ages 13 and under)",Results,2018-08-20T18:00:00Z,8,20,1,2018
H,Manchester,"Mon, 08/20 18:30",2.6M,Summer XC Series,"$10, $20 for series (ages 14 and up)",Results,2018-08-20T18:30:00Z,8,20,1,2018
NL,Stonington,"Tue, 08/21 18:15",5K,Battle of Stonington,.$25,Results,2018-08-21T18:15:00Z,8,21,2,2018
F,New Canaan,"Tue, 08/21 19:00",5K,Summer Cross Country Series,.$5 Luminaria Loop,Results,2018-08-21T19:00:00Z,8,21,2,2018
NL,Stonington,"Wed, 08/22 18:00",5K,Stonington Cross Country 5K,"Pre registration is free, $5 raceday",Results,2018-08-22T18:00:00Z,8,22,3,2018
F,Stratford,"Wed, 08/22 18:00",5K,Stratford Summer Series,.$10,Results,2018-08-22T18:00:00Z,8,22,3,2018
NH,Meriden,"Wed, 08/22 18:30",3M,Summer Fun Run,Free,Results,2018-08-22T18:30:00Z,8,22,3,2018
H,Hartford,"Thu, 08/23 18:30",5K,Riverfront Scramble 3,"$25, $20 18-22, $15 5-17 through 1/1, $30, $25 18-22, $15 5-17 through 8/12, $35, $30 18-22, $20 5-17 after",Results,2018-08-23T18:30:00Z,8,23,4,2018
L,Litchfield,"Thu, 08/23 18:30","2K,3K,4K,5K",White Woods Cross Country Summer Series,.$2,Results,2018-08-23T18:30:00Z,8,23,4,2018
H,Burlington,"Sat, 08/25 06:00",60K,Tunxis Trail Ultra,".$60, $70 after 6/30",Results,2018-08-25T06:00:00Z,8,25,6,2018
H,Burlington,"Sat, 08/25 06:00",30K,Tunxis Trail Ultra,".$50, $60 after 6/30",Results,2018-08-25T06:00:00Z,8,25,6,2018
F,Norwalk,"Sat, 08/25 08:00",11M,Lightfoot Norwalk Summer Series,".$12, $55 for 5 race series",Results,2018-08-25T08:00:00Z,8,25,6,2018
W,Plainfield,"Sat, 08/25 08:00",Triathlon,DKH - Give it a TRI,.$55,Results,2018-08-25T08:00:00Z,8,25,6,2018
F,Westport,"Sat, 08/25 08:00",9.3M,Westport Road Runners Summer Series,"$10,  $60 for whole series, $5 for Westport residents or $30 for series",Results,2018-08-25T08:00:00Z,8,25,6,2018
H,New Britain,"Sat, 08/25 08:15",5K,Sara Krolokowski Memorial 5K,.$20,Results,2018-08-25T08:15:00Z,8,25,6,2018
T,Hebron,"Sat, 08/25 08:30",5K,Hebron Road Race,.$28,Results,2018-08-25T08:30:00Z,8,25,6,2018
M,Old Saybrook,"Sat, 08/25 08:30",5K,Saybrook Point 5K,.$20,Results,2018-08-25T08:30:00Z,8,25,6,2018
L,Roxbury,"Sat, 08/25 08:30",5M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-08-25T08:30:00Z,8,25,6,2018
T,Mansfield,"Sat, 08/25 09:30",Kids Tri,Kids Who Tri Succeed,".$15, ages 12-14 only",Results,2018-08-25T09:30:00Z,8,25,6,2018
F,Stratford,"Sat, 08/25 10:00",3M,Shore to the Pour,.$35,Results,2018-08-25T10:00:00Z,8,25,6,2018
F,New Canaan,"Sun, 08/26 08:00",5K,Unite to Fight,.$30,Results,2018-08-26T08:00:00Z,8,26,7,2018
H,Wethersfield,"Sun, 08/26 08:30",10K,Old Wethersfield,"$40, $35 9-22 through 1/1, $45, $40 9-22 through 8/16, $50, $45 9-22 after",Results,2018-08-26T08:30:00Z,8,26,7,2018
H,Wethersfield,"Sun, 08/26 08:30",5K,Old Wethersfield,"$25, $20 18-22, $15 5-17 through 1/1, $30, $25 18-22, $15 5-17 through 8/16, $35, $30 18-22, $20 5-17 after",Results,2018-08-26T08:30:00Z,8,26,7,2018
M,Haddam,"Sun, 08/26 10:00",5K,The Butterfly 5K,.$20,Results,2018-08-26T10:00:00Z,8,26,7,2018
F,Shelton,"Thu, 08/30 18:00",5K,Run/Walk for Overdose Awareness,"$25, $15 for under 18. Day of is $30 for everyone",Results,2018-08-30T18:00:00Z,8,30,4,2018
L,Litchfield,"Thu, 08/30 18:30","2K,3K,4K,5K",White Woods Cross Country Summer Series,.$2,Results,2018-08-30T18:30:00Z,8,30,4,2018
F,Newtown,"Sat, 09/01 08:00",5K,Newtown Road Race,.$27,Results,2018-09-01T08:00:00Z,9,1,6,2018
F,Westport,"Sat, 09/01 08:00",10M,Westport Road Runners Summer Series,"$10,  $60 for whole series, $5 for Westport residents or $30 for series",Results,2018-09-01T08:00:00Z,9,1,6,2018
L,Roxbury,"Sat, 09/01 08:30",1M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-09-01T08:30:00Z,9,1,6,2018
NH,Naugatuck,"Sat, 09/01 09:00",5K,Sao Paio Festival 5K,".$28.50, students $18.20",Results,2018-09-01T09:00:00Z,9,1,6,2018
W,Ashford,"Sat, 09/01 10:00",5K,Ashford Labor Day 5K,.$20,Results,2018-09-01T10:00:00Z,9,1,6,2018
T,Stafford,"Sun, 09/02 00:00",1M,Katey's race - to be named,NA,Results,2018-09-02T00:00:00Z,9,2,7,2018
M,Haddam,"Sun, 09/02 09:30",5K,Haddam Neck Fair 5K,".$14 pre reg, $17 Day of",Results,2018-09-02T09:30:00Z,9,2,7,2018
NL,Waterford,"Sun, 09/02 10:00",5K,Waterford Football 5K,.$20,Results,2018-09-02T10:00:00Z,9,2,7,2018
NH,New Haven,"Mon, 09/03 08:30","13.1M, 20K",New Haven Road Race,"$55 through 2/9, $60 through 6/28, $65 through 8/14, $70 through 9/3, $75 raceday",Results,2018-09-03T08:30:00Z,9,3,1,2018
NH,New Haven,"Mon, 09/03 08:30",5K,New Haven Road Race,"$30 through 2/9, $32 through 6/28, $34 through 8/14, $35 through 9/3, $40 raceday",Results,2018-09-03T08:30:00Z,9,3,1,2018
F,Stamford,"Mon, 09/03 08:30","5K, 10K",Give a Child a Jump Start,"$30 through 8/18, $36 afterwards; Ages 6-18 - $15 through 8/18, $18 afterwards; Ages 5 & under - Free",Results,2018-09-03T08:30:00Z,9,3,1,2018
H,South Windsor,"Mon, 09/03 09:00","5M, 2.7M",South Windsor Labor Day 5 Miler,.$18,Results,2018-09-03T09:00:00Z,9,3,1,2018
NH,Middlebury,"Thu, 09/06 17:00",5K,Timex Family 5K,"$20, $25 raceday",Results,2018-09-06T17:00:00Z,9,6,4,2018
NH,Madison,"Sat, 09/08 07:00",Triathlon,Dave Parcells Madison Triathlon,".$80, $100",Results,2018-09-08T07:00:00Z,9,8,6,2018
H,Farmington,"Sat, 09/08 07:30",Triathlon,Women's Triathlon,"$75, $70 16 - 22 through 1/1, $90, $85 16-22 through 8/29, $100, $95 1-22 after (WOMEN ONLY)",Results,2018-09-08T07:30:00Z,9,8,6,2018
H,Suffield,"Sat, 09/08 08:00",10K,Suffield Road Races,"$25, $30 raceday",Results,2018-09-08T08:00:00Z,9,8,6,2018
NH,East Haven,"Sat, 09/08 08:30",5K,East Haven Classic,"$25 through 8/31,  $30 after,  Under 18 $15",Results,2018-09-08T08:30:00Z,9,8,6,2018
L,Roxbury,"Sat, 09/08 08:30",3.7M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-09-08T08:30:00Z,9,8,6,2018
H,Suffield,"Sat, 09/08 08:30",5K,Suffield Road Races,"$25, $30 raceday",Results,2018-09-08T08:30:00Z,9,8,6,2018
F,Monroe,"Sat, 09/08 08:40",12K,Chasing Ciara's Light Races,"$25, $30 raceday",Results,2018-09-08T08:40:00Z,9,8,6,2018
F,Monroe,"Sat, 09/08 09:00",5K,Chasing Ciara's Light Races,"$35, $40 raceday",Results,2018-09-08T09:00:00Z,9,8,6,2018
F,Stratford,"Sat, 09/08 09:00",5K,Lordship Runabout,.$20,Results,2018-09-08T09:00:00Z,9,8,6,2018
H,West Hartford,"Sat, 09/08 09:00",5K,Steps for Birth to Three 5K,.$30,Results,2018-09-08T09:00:00Z,9,8,6,2018
NL,Groton,"Sat, 09/08 10:00",3.6M,Royal Run,.$25,Results,2018-09-08T10:00:00Z,9,8,6,2018
F,Westport,"Sun, 09/09 07:30",Triathlon,Westport Kiwanis Minuteman Tri,.$58,Results,2018-09-09T07:30:00Z,9,9,7,2018
NL,Montville,"Sun, 09/09 09:15",10K,Montville Race Day (Montville Masters),.$20,Results,2018-09-09T09:15:00Z,9,9,7,2018
L,Kent,"Sun, 09/09 09:00",5K,Sprint for Recovery,.$20,Results,2018-09-09T09:00:00Z,9,9,7,2018
NL,Montville,"Sun, 09/09 08:30",5K,Montville Race Day,.$20,Results,2018-09-09T08:30:00Z,9,9,7,2018
F,Fairfield,"Sun, 09/09 09:00",5K,Autism Spectrun,"$30, $35 raceday,  ages 6-18 $15, $20 raceday",Results,2018-09-09T09:00:00Z,9,9,7,2018
H,Farmington,"Sun, 09/09 09:00",5K,Amped Fitness 5K,.$30,Results,2018-09-09T09:00:00Z,9,9,7,2018
H,Avon,"Sun, 09/09 10:00",5K,Scholarship 5k Trail Run,".$20, $15 for 18 and under, $25 day of",Results,2018-09-09T10:00:00Z,9,9,7,2018
H,Berlin,"Sun, 09/09 13:00",5K,Journey to the Center of CT,.$30,Results,2018-09-09T13:00:00Z,9,9,7,2018
H,Berlin,"Sun, 09/09 13:05",1M,Journey to the Center of CT,.$15,Results,2018-09-09T13:05:00Z,9,9,7,2018
W,Killingly,"Sun, 09/09 18:00",5K,Beat the Sunset Series,NA,Results,2018-09-09T18:00:00Z,9,9,7,2018
H,East Hartford,"Tue, 09/11 17:30",5K,Pratt and Whitney Take Flight 5K,".$30 thru 9/1, then $33 thru 9/9, $35 race day",Results,2018-09-11T17:30:00Z,9,11,2,2018
F,Bethel,"Thu, 09/13 18:15",5K,King of the Hill,"$29, $15 12 and under",Results,2018-09-13T18:15:00Z,9,13,4,2018
NL,East Lyme,"Fri, 09/14 18:00",5K,Rainbow Run,".$20, $15 for under 13",Results,2018-09-14T18:00:00Z,9,14,5,2018
H,Hartford,"Fri, 09/14 18:00",5K,Riverfront 5K Row and Erg,.$35,Results,2018-09-14T18:00:00Z,9,14,5,2018
NH,Milford,"Sat, 09/15 08:00",13.1M,Gulf Beach Half Marathon,.$60,Results,2018-09-15T08:00:00Z,9,15,6,2018
T,Somers,"Sat, 09/15 08:00",5K,Somers Great Escape,.$20,Results,2018-09-15T08:00:00Z,9,15,6,2018
NL,Waterford,"Sat, 09/15 08:00",Youth Tri,Proud to Tri,".$25 through 8/31, then $30 Ages 11-17 only",Results,2018-09-15T08:00:00Z,9,15,6,2018
M,Deep River,"Sat, 09/15 08:15",1M,Deep River Road Races,NA,Results,2018-09-15T08:15:00Z,9,15,6,2018
L,Roxbury,"Sat, 09/15 08:30",8.7M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-09-15T08:30:00Z,9,15,6,2018
NL,Colchester,"Sat, 09/15 09:00",5K,Race to End Hunger,.$25,Results,2018-09-15T09:00:00Z,9,15,6,2018
M,Deep River,"Sat, 09/15 09:00",5K,Deep River Road Races,NA,Results,2018-09-15T09:00:00Z,9,15,6,2018
T,Mansfield,"Sat, 09/15 09:00",5K,Natchaug Stop the Stigma,.$20,Results,2018-09-15T09:00:00Z,9,15,6,2018
H,Newington,"Sat, 09/15 09:00",5K,Run for Dom,NA,Results,2018-09-15T09:00:00Z,9,15,6,2018
F,Trumbull,"Sat, 09/15 09:00",5K,"Apple Run, Walk, and Candy Apple Kids' Run",.$25,Results,2018-09-15T09:00:00Z,9,15,6,2018
NH,Waterbury,"Sat, 09/15 09:00",5K,Dads Matter Too,.$20,Results,2018-09-15T09:00:00Z,9,15,6,2018
H,Farmington,"Sat, 09/15 09:30",5K,United we Ruck & Run 5K,"$40,  $50 raceday",Results,2018-09-15T09:30:00Z,9,15,6,2018
W,Eastford,"Sat, 09/15 10:00",5K,Never Stop Fighting,".$22, $30 day of",Results,2018-09-15T10:00:00Z,9,15,6,2018
F,Shelton,"Sat, 09/15 10:00",5K,Run 4 Life 5K,.$30,Results,2018-09-15T10:00:00Z,9,15,6,2018
W,Windham,"Sat, 09/15 10:00",5K,1/2 Way to St. Patty's Day,"$20, $15 for under 17",Results,2018-09-15T10:00:00Z,9,15,6,2018
NH,Branford,"Sun, 09/16 07:30",Triathlon,Hammerfest Triathlon With Brian's Hope,.$90,Results,2018-09-16T07:30:00Z,9,16,7,2018
F,Norwalk,"Sun, 09/16 08:00",13.1M,Sam Elpern Half Marathon,"$22 through 9/14,  $25 after",Results,2018-09-16T08:00:00Z,9,16,7,2018
F,Ridgefield,"Sun, 09/16 08:00",4.25M,Where the Pavement Ends,.$35,Results,2018-09-16T08:00:00Z,9,16,7,2018
H,Southington,"Sun, 09/16 08:00",5K,Layza's Run for Rescue,.$32.63,Results,2018-09-16T08:00:00Z,9,16,7,2018
H,Southington,"Sun, 09/16 08:00",10K,Layza's Run for Rescue,.$37.89,Results,2018-09-16T08:00:00Z,9,16,7,2018
M,Chester,"Sun, 09/16 09:00",4M,Trails to a Cure,".$10 thru 9/7, then $15",Results,2018-09-16T09:00:00Z,9,16,7,2018
M,Chester,"Sun, 09/16 09:00",8M,Trails to a Cure,".$20 thru 9/7, then $25",Results,2018-09-16T09:00:00Z,9,16,7,2018
F,Darien,"Sun, 09/16 09:00",1.5M,Darien Road Race,"$35 through 6/30, $40 through 9/15, $45 raceday,  12 and uder $15, $20 raceday",Results,2018-09-16T09:00:00Z,9,16,7,2018
L,Kent,"Sun, 09/16 09:00",7.25M,Macedonia Trail Race,"$35 through 7/31, $40 through 8/31, $45 afterwards",Results,2018-09-16T09:00:00Z,9,16,7,2018
W,Killingly,"Sun, 09/16 09:00",5K,NOW 5K,.$20,Results,2018-09-16T09:00:00Z,9,16,7,2018
H,West Hartford,"Sun, 09/16 09:00",5K,My Sister's Place,.$30,Results,2018-09-16T09:00:00Z,9,16,7,2018
F,Darien,"Sun, 09/16 09:30",5M,Darien Road Race,"$35 through 6/30, $40 through 9/15, $45 raceday,  12 and uder $15, $20 raceday",Results,2018-09-16T09:30:00Z,9,16,7,2018
NH,Woodbridge,"Sun, 09/16 09:30",5K,JCC Murray Lender Bagel Run,.$25,Results,2018-09-16T09:30:00Z,9,16,7,2018
NH,New Haven,"Sun, 09/16 10:00",5K,East Rock Challenge,.$22,Results,2018-09-16T10:00:00Z,9,16,7,2018
L,Torrington,"Sun, 09/16 10:00",5K,Miles 4 Moe Harvest Fest,"$30, $20 for students",Results,2018-09-16T10:00:00Z,9,16,7,2018
H,Windsor,"Sun, 09/16 12:30",3.5M,Union Street Tavern Trot,".$30, $15 for ages 10-18, under 10 free",Results,2018-09-16T12:30:00Z,9,16,7,2018
W,Killingly,"Sun, 09/16 18:00",5K,Beat the Sunset Series,NA,Results,2018-09-16T18:00:00Z,9,16,7,2018
F,Fairfield,"Sat, 09/22 08:15",1M,Only You Kids' Run,"$17.50 through 8/5,  $20 after",Results,2018-09-22T08:15:00Z,9,22,6,2018
NL,Old Lyme,"Sat, 09/22 08:30",10K,Bound for the Sound,.$35,Results,2018-09-22T08:30:00Z,9,22,6,2018
L,Roxbury,"Sat, 09/22 08:30",2.4M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-09-22T08:30:00Z,9,22,6,2018
F,Stratford,"Sat, 09/22 08:30",9 hours,Forgotten Forest Ultra,"$79 through 6/3,  $89 through 8/5, $99 after",Results,2018-09-22T08:30:00Z,9,22,6,2018
NL,Bozrah,"Sat, 09/22 09:00",5K,Fire Dept 5K,NA,Results,2018-09-22T09:00:00Z,9,22,6,2018
H,Enfield,"Sat, 09/22 09:00",5K,Lego 5K,SOLD OUT,Results,2018-09-22T09:00:00Z,9,22,6,2018
F,Fairfield,"Sat, 09/22 09:00",5K,Only You 5k,"$30 through 8/5, $35 after",Results,2018-09-22T09:00:00Z,9,22,6,2018
NH,Meriden,"Sat, 09/22 09:00",5K,Strides Against Violence,.$30,Results,2018-09-22T09:00:00Z,9,22,6,2018
H,New Britain,"Sat, 09/22 09:00",5K,Ray Crothers Memorial 5K,.$20,Results,2018-09-22T09:00:00Z,9,22,6,2018
NH,New Haven,"Sat, 09/22 09:00",5K,Sickle Cell Disease Ass. of Southern CT Run/Walk,.$25,Results,2018-09-22T09:00:00Z,9,22,6,2018
NL,Old Lyme,"Sat, 09/22 09:00",5K,Bound for the Sound,.$30,Results,2018-09-22T09:00:00Z,9,22,6,2018
NL,Waterford,"Sat, 09/22 09:00",5K,5K Foot Pursuit,.$25,Results,2018-09-22T09:00:00Z,9,22,6,2018
NH,Milford,"Sat, 09/22 09:30",5K,MDA Firefighter 5K,.$25,Results,2018-09-22T09:30:00Z,9,22,6,2018
NL,Lisbon,"Sat, 09/22 10:00",3.5M,Lisbon Fall Festival Road Race,".$20, $25 raceday",Results,2018-09-22T10:00:00Z,9,22,6,2018
L,Woodbury,"Sat, 09/22 10:00",5K,Go the Distance for Scholars,"$30, $12 students, $10 12 and under through 9/21, $35, $15 students, #12 12 and under afterwards",Results,2018-09-22T10:00:00Z,9,22,6,2018
T,Mansfield,"Sat, 09/22 12:00",5M,The Kyle Milliken Memorial Run,Donations Accepted,Results,2018-09-22T12:00:00Z,9,22,6,2018
F,Stratford,"Sun, 09/23 07:30",10K,Fall Distance Festival,NA,Results,2018-09-23T07:30:00Z,9,23,7,2018
F,Stratford,"Sun, 09/23 07:30",20K,Fall Distance Festival,NA,Results,2018-09-23T07:30:00Z,9,23,7,2018
F,Stratford,"Sun, 09/23 07:30",30K,Fall Distance Festival,NA,Results,2018-09-23T07:30:00Z,9,23,7,2018
F,Wilton,"Sun, 09/23 08:00",5K,Wilton Circle of Care,.$30,Results,2018-09-23T08:00:00Z,9,23,7,2018
H,Farmington,"Sun, 09/23 09:00",5K,Farmington Rotary Road Race,.$35,Results,2018-09-23T09:00:00Z,9,23,7,2018
NH,Milford,"Sun, 09/23 09:00",5K,Superhero 5K,"$25, $15 for youth through 9/7, $30, $20 for youth afterwards",Results,2018-09-23T09:00:00Z,9,23,7,2018
F,Stamford,"Sun, 09/23 09:00",5K,Miles for a Mission,.$25,Results,2018-09-23T09:00:00Z,9,23,7,2018
L,Thomaston,"Sun, 09/23 09:00",5K,Dental Dash 5K,.$25,Results,2018-09-23T09:00:00Z,9,23,7,2018
L,Norfolk,"Sun, 09/23 12:00",10K,Norfolk Land Trust Trail Races,.$20,Results,2018-09-23T12:00:00Z,9,23,7,2018
L,Norfolk,"Sun, 09/23 12:15",5K,Norfolk Land Trust Trail Races,.$20,Results,2018-09-23T12:15:00Z,9,23,7,2018
W,Killingly,"Sun, 09/23 18:00",5K,Beat the Sunset Series,NA,Results,2018-09-23T18:00:00Z,9,23,7,2018
L,Roxbury,"Sat, 09/29 08:30","7.25M, 3.8M",Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-09-29T08:30:00Z,9,29,6,2018
L,Colebrook,"Sat, 09/29 09:00",13.1M,Hogsback Half Marathon,.$50,Results,2018-09-29T09:00:00Z,9,29,6,2018
H,South Windsor,"Sat, 09/29 09:00","5K, 10K",Bissel Ferry 5K,.$25,Results,2018-09-29T09:00:00Z,9,29,6,2018
NL,Norwich,"Sat, 09/29 09:30",1M,Sacred Heart Dash,"$17, $20 raceday",Results,2018-09-29T09:30:00Z,9,29,6,2018
F,Fairfield,"Sat, 09/29 09:30",5K,Path of Hope,".$25 thru 8/31, then $35 thru 9/27, then $45 day of",Results,2018-09-29T09:30:00Z,9,29,6,2018
M,East Hampton,"Sat, 09/29 10:00",5K,Benny's Run,".$25 thru 9/1, then $30",Results,2018-09-29T10:00:00Z,9,29,6,2018
W,Plainfield,"Sat, 09/29 10:00",5K,March for Matthew,.$25,Results,2018-09-29T10:00:00Z,9,29,6,2018
F,Stratford,"Sat, 09/29 10:00",5K,Tommy Mac Run,.$27,Results,2018-09-29T10:00:00Z,9,29,6,2018
L,Warren,"Sat, 09/29 10:00",5K,Cider Run,NA,Results,2018-09-29T10:00:00Z,9,29,6,2018
T,Tolland,"Sat, 09/29 10:30",5K,Cider Mill Run,.$25,Results,2018-09-29T10:30:00Z,9,29,6,2018
F,Ridgefield,"Sun, 09/30 07:45",13.1M,Ridgefield Half Marathon,.$50 thru 5/31...then ? (historically increased in $5 increments a few times). Early start offered at 7:15,Results,2018-09-30T07:45:00Z,9,30,7,2018
W,Ashford,"Sun, 09/30 08:00",26.2M,Nipmuck Trail Marathon,.$35,Results,2018-09-30T08:00:00Z,9,30,7,2018
H,East Hartford,"Sun, 09/30 08:30",5K,Believe 208: Run for the Brave and Finest,"$25 by 9/1, $30 by 9/21, $35 raceday",Results,2018-09-30T08:30:00Z,9,30,7,2018
H,Southington,"Sun, 09/30 08:30","5K, 5M",Apple Harvest Festival Road Races,.$25,Results,2018-09-30T08:30:00Z,9,30,7,2018
NH,Meriden,"Sun, 09/30 09:00",5K,Footprints on our Hearts,.$25,Results,2018-09-30T09:00:00Z,9,30,7,2018
F,Monroe,"Sun, 09/30 09:00",5K,Monroe 5K Trail Run,.$20,Results,2018-09-30T09:00:00Z,9,30,7,2018
NL,Salem,"Sun, 09/30 09:00",5K,Run in the Woods,"$20, $25 raceday",Results,2018-09-30T09:00:00Z,9,30,7,2018
F,Fairfield,"Sun, 09/30 10:00",5K,Bigelow Tea Community Challenge,.$25,Results,2018-09-30T10:00:00Z,9,30,7,2018
NH,Middlebury,"Sun, 09/30 10:00",5K,Pies and Pints TaTa Trot,.$25,Results,2018-09-30T10:00:00Z,9,30,7,2018
W,Killingly,"Sun, 09/30 18:00",5K,Beat the Sunset Series,NA,Results,2018-09-30T18:00:00Z,9,30,7,2018
T,Andover,"Sat, 10/06 00:00",5M,Andover Lake Race,NA,Results,2018-10-06T00:00:00Z,10,6,6,2018
L,Salisbury,"Sat, 10/06 00:00",5K,HYSB Fall Fest,NA,Results,2018-10-06T00:00:00Z,10,6,6,2018
NH,Hamden,"Sat, 10/06 08:00",10K,Rail Trail 10K,"$35 through 4/5,  $50 through 10/6,  $45 Raceday",Results,2018-10-06T08:00:00Z,10,6,6,2018
H,South Windsor,"Sat, 10/06 08:00",5K,Running for Peace,"$20,  $10 for under 18",Results,2018-10-06T08:00:00Z,10,6,6,2018
L,Roxbury,"Sat, 10/06 08:30",4.4M,Roxbury Race Series,"$2,  $25 for the entire series",Results,2018-10-06T08:30:00Z,10,6,6,2018
F,Bridgeport,"Sat, 10/06 09:00",5K,Habitat For Humanity Run for Home,".$25 thru 7/31, $27 from 8/1 to 10/4, $35 day of.  $20 for under 14 thru 10/4",Results,2018-10-06T09:00:00Z,10,6,6,2018
H,Enfield,"Sat, 10/06 09:00",5K,Outrun Addiction,.$25,Results,2018-10-06T09:00:00Z,10,6,6,2018
W,Plainfield,"Sat, 10/06 09:00",3.2M,Beat Breast Cancer Race,".$25, $30 race day",Results,2018-10-06T09:00:00Z,10,6,6,2018
NH,Seymour,"Sat, 10/06 09:00",5K,Pounding the Pavement for Pink,.$25,Results,2018-10-06T09:00:00Z,10,6,6,2018
F,Bridgeport,"Sat, 10/06 09:30",5K,CES Fall Classic,.$25,Results,2018-10-06T09:30:00Z,10,6,6,2018
T,Mansfield,"Sat, 10/06 10:00",5K,SAPTA 5K,.$25,Results,2018-10-06T10:00:00Z,10,6,6,2018
